ID   source_index target_index  pSource.x   pSource.y    pSource.z   pTarget.x   pTarget.y    pTarget.z   currentR  endvertex 
 167      3762      4010      7.10156      -3.375      -3.609      7.17188      -3.28125      -3.519      0.00400613      0
 168      11630      3762      7.17188      -3.28125      -3.519      7.25781      -3.3125      -3.539      0.00316453      0
 169      11631      11630      7.25781      -3.3125      -3.539      7.30469      -3.21875      -3.564      0.00247756      0
 170      11951      11630      7.25781      -3.3125      -3.539      7.3645      -3.27148      -3.52128      0.00187962      0
 171      4008      11951      7.3645      -3.27148      -3.52128      7.47227      -3.13906      -3.5199      0.000448084      1
 172      4009      11631      7.30469      -3.21875      -3.564      7.28906      -3.125      -3.662      0.00160384      0
 173      11632      11631      7.30469      -3.21875      -3.564      7.34375      -3.15625      -3.665      0.00170494      0
 174      3789      11632      7.34375      -3.15625      -3.665      7.46094      -3.125      -3.667      0.000741502      0
 175      11950      11632      7.34375      -3.15625      -3.665      7.375      -3.09375      -3.601      0.0010041      0
 176      4007      11950      7.375      -3.09375      -3.601      7.40625      -2.96875      -3.621      0.000333099      1
 177      11675      3789      7.46094      -3.125      -3.667      7.49219      -3.15625      -3.66      0.000102713      1
 178      3764      4009      7.28906      -3.125      -3.662      7.30469      -2.96875      -3.548      0.000515822      1
 179      3759      3761      7.12118      -3.49722      -3.57056      7.0918      -3.60221      -3.50952      0.0098441      0
 180      11577      3759      7.0918      -3.60221      -3.50952      7.04527      -3.63419      -3.47941      0.00603813      0
 181      11927      3759      7.0918      -3.60221      -3.50952      7.14798      -3.66912      -3.48147      0.00901887      0
 182      3786      11927      7.14798      -3.66912      -3.48147      7.17562      -3.71875      -3.47088      0.00631027      0
 183      3989      11927      7.14798      -3.66912      -3.48147      7.113      -3.73171      -3.46778      0.008396      0
 184      3785      3989      7.113      -3.73171      -3.46778      7.13323      -3.82686      -3.46449      0.00775643      0
 185      11626      3989      7.113      -3.73171      -3.46778      7.08801      -3.72702      -3.43582      0.0050379      0
 186      11928      11626      7.08801      -3.72702      -3.43582      7.0625      -3.78125      -3.397      0.00188976      0
 187      11625      11928      7.0625      -3.78125      -3.397      7.03125      -3.815      -3.42252      0.001486      0
 188      3755      11625      7.03125      -3.815      -3.42252      6.92188      -3.84375      -3.381      0.000939488      0
 189      3754      3755      6.92188      -3.84375      -3.381      6.88281      -3.9375      -3.347      0.000268276      1
 190      11899      3785      7.13323      -3.82686      -3.46449      7.17969      -3.90625      -3.479      0.00704696      0
 191      3944      11899      7.17969      -3.90625      -3.479      7.25      -4.03125      -3.386      0.00607411      0
 192      3811      3944      7.25      -4.03125      -3.386      7.21875      -4.09375      -3.317      0.00509698      0
 193      3834      3811      7.21875      -4.09375      -3.317      7.35156      -4.15625      -3.243      0.00415982      0
 194      11732      3811      7.21875      -4.09375      -3.317      7.29688      -4.21875      -3.357      0.00392953      0
 195      3921      11732      7.29688      -4.21875      -3.357      7.46094      -4.34375      -3.345      0.00242589      0
 196      3911      3921      7.46094      -4.34375      -3.345      7.625      -4.40625      -3.414      0.00113532      0
 197      3865      3911      7.625      -4.40625      -3.414      7.70312      -4.46875      -3.384      0.000260978      1
 198      11855      3834      7.35156      -4.15625      -3.243      7.35156      -4.1875      -3.197      0.00338909      0
 199      11752      11855      7.35156      -4.1875      -3.197      7.48438      -4.25      -3.03      0.00149128      1
 200      11841      11855      7.35156      -4.1875      -3.197      7.53906      -4.25      -3.203      0.00149128      1
 201      11856      11855      7.35156      -4.1875      -3.197      7.30469      -4.25      -3.197      0.00292804      0
 202      3833      11856      7.30469      -4.25      -3.197      7.28906      -4.3125      -3.143      0.00201252      0
 203      11751      11856      7.30469      -4.25      -3.197      7.42188      -4.375      -3.216      0.00208273      0
 204      11842      11751      7.42188      -4.375      -3.216      7.42188      -4.375      -3.269      0.00134816      0
 205      11843      11751      7.42188      -4.375      -3.216      7.36719      -4.4375      -3.247      0.000708272      1
 206      3922      11842      7.42188      -4.375      -3.269      7.39844      -4.4375      -3.33      0.000898336      0
 207      11750      3922      7.39844      -4.4375      -3.33      7.35156      -4.5      -3.415      0.000291361      1
 208      3931      3833      7.28906      -4.3125      -3.143      7.30469      -4.28125      -3.084      0.000644789      1
 209      3932      3833      7.28906      -4.3125      -3.143      7.21875      -4.375      -3.2      0.00103474      0
 210      11857      3833      7.28906      -4.3125      -3.143      7.25      -4.34375      -3.089      0.000644789      1
 211      11858      3932      7.21875      -4.375      -3.2      7.16406      -4.4375      -3.297      0.000325533      1
 212      3813      3786      7.17562      -3.71875      -3.47088      7.36719      -3.75      -3.462      0.00241445      0
